lineName,direction,component,vehicle_count,start_time,end_time,duration,label
M3353,1.0,"BS09390D,BS30452D",2,2019-01-04 19:58:32,2019-01-04 19:59:36,64.0,0
M3353,1.0,"BS08761D,BS08968D",2,2019-01-04 22:51:00,2019-01-04 22:58:30,450.0,1
M3353,2.0,"BS03377D,BS08761D",2,2019-01-04 06:36:00,2019-01-04 06:40:30,270.0,1
M3353,2.0,"BS09590D,BS42672D",2,2019-01-04 08:56:05,2019-01-04 09:07:47,702.0,0
M3353,2.0,"BS09590D,BS42672D",2,2019-01-04 09:24:23,2019-01-04 09:31:51,448.0,1
M3353,2.0,"BS30321D,BS34147D",2,2019-01-04 11:49:16,2019-01-04 11:50:36,80.0,0
M3353,2.0,"BS30321D,BS34147D",2,2019-01-04 12:04:24,2019-01-04 12:23:48,1164.0,1
M3353,2.0,"BS03377D,BS45211D",2,2019-01-04 12:24:01,2019-01-04 12:27:53,232.0,1
M3353,2.0,"BS09053D,BS09218D",2,2019-01-04 13:38:19,2019-01-04 13:39:38,79.0,0
M3353,2.0,"BS09390D,BS36258D",2,2019-01-04 13:44:13,2019-01-04 13:47:51,218.0,1
M3353,2.0,"BS09691D,BS36258D",2,2019-01-04 14:00:36,2019-01-04 14:03:56,200.0,1
M3353,2.0,"BS30321D,BS34147D",2,2019-01-04 15:28:03,2019-01-04 15:31:56,233.0,1
M3353,2.0,"BS03377D,BS34603D",2,2019-01-04 16:48:49,2019-01-04 16:51:49,180.0,1
M3353,2.0,"BS09390D,BS36206D",2,2019-01-04 17:32:04,2019-01-04 17:35:50,226.0,1
M3353,2.0,"BS36242D,BS36258D",2,2019-01-04 17:44:11,2019-01-04 17:47:49,218.0,1
M3353,2.0,"BS36242D,BS36258D",2,2019-01-04 18:42:51,2019-01-04 18:43:41,50.0,0
M3353,2.0,"BS09390D,BS30452D",2,2019-01-04 18:45:24,2019-01-04 18:46:53,89.0,0
