idx,opath,lineName,direction,t_flag,time,lng,lat,distance_of_gpspoint,gps_normalized_distance_length
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:51:06,114.026947729,22.6528762887,19.69822755605388,0.4705359880178889
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:51:13,113.941803803,22.6836080024,8.598923330129432,0.2054044138498661
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:51:16,113.942349126,22.6836327353,8.655027568609604,0.2067445884016189
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:51:23,113.942024256,22.683618001,8.621604105518115,0.20594619462817
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:51:26,113.942714499,22.6836493067,8.69261808108325,0.2076425214200365
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:51:33,113.942368428,22.6836336107,8.657013407843769,0.2067920245896431
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:51:36,113.943048553,22.6836644576,8.934057465736378,0.213409838255062
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:51:43,113.942711305,22.6836491618,8.692289473980876,0.2076346719083409
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:51:46,113.943291329,22.6836754686,8.909080052904942,0.2128131971820859
BS01899D,82001.0,M2333,1.0,1,2019-01-04 07:51:47,114.02754487,22.65215721,19.79876600155072,0.4729375724574543
BS01899D,15438.0,M2333,1.0,1,2019-01-04 07:51:48,114.027597595,22.6520937033,19.80764445243217,0.4731496540087352
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:51:53,113.94296273,22.6836605651,8.942887155091302,0.2136207550288015
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:51:56,114.027230853,22.6525353528,19.74589584452533,0.471674651136142
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:08:07,114.048409577,22.637978071,22.92068971411459,0.5475116657065829
BS00077D,75983.0,M2333,1.0,1,2019-01-04 08:08:16,114.046992808,22.6382225484,22.772559587736215,0.5439732480914793
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:08:17,114.048898838,22.6378942444,22.971832325475848,0.5487333207564196
BS00077D,36456.0,M2333,1.0,1,2019-01-04 08:08:26,114.047434348,22.6381463574,22.818724705044136,0.5450760046223717
